Driver,average_lap_time,median_lap_time,lap_time_std,representative_laps,gap_to_fastest
ANT,71.65907272727273,71.644,0.7812783412232978,55,0.0
VER,71.6867962962963,71.76,0.6392828641246203,54,0.02772356902356421
RUS,71.74401851851852,71.662,0.5776262253865997,54,0.0849457912457865
HAM,71.90534545454545,71.887,0.4721016925205951,55,0.24627272727272498
LEC,71.9056923076923,71.95150000000001,0.6722403438798334,52,0.24661958041957632
PIA,72.00742592592593,71.9005,0.749368881676188,54,0.3483531986532
NOR,72.1148148148148,71.9275,0.7543952238307424,54,0.45574208754207746
HAD,72.15974545454546,71.91,0.6829843612488176,55,0.5006727272727289
LAW,72.97166666666666,73.0515,0.7155898477400736,54,1.3125939393939348
LIN,73.05575925925926,72.916,0.6786387300000194,54,1.396686531986532
GAS,73.08416981132076,72.985,0.759708717861119,53,1.4250970840480335
BOR,73.21615094339623,73.252,0.7034411679578743,53,1.5570782161235002
HUL,73.34283333333333,72.9765,0.9143836515730914,54,1.683760606060602
COL,73.64051851851852,73.57300000000001,0.9968566396568477,54,1.9814457912457897
BEA,73.82981818181818,73.475,0.8824123100050683,55,2.170745454545454
OCO,74.05094230769231,73.8365,0.7859661324206061,52,2.3918695804195806
ALB,74.22587037037037,74.104,0.7642175193237631,54,2.566797643097644
SAI,74.49283333333334,74.28,0.5822923512746309,18,2.8337606060606078
PER,74.8615,74.8615,0.5847773080412886,2,3.2024272727272773
ALO,75.02733333333333,75.07300000000001,0.7531364105062353,54,3.368260606060602
STR,75.26208823529412,75.2315,0.7242722729139426,34,3.603015508021386
